Columna1	ID_biorollo	Especie	Tratamiento	Dias_desde_armado	POT_Dias_desde_armado	Raices_debajo	Raiz_mas_larga	N_hojas_verdes	Hetero	EspecieTratamiento	NhojasverdesInicial	Especie_Pehuajo	Especie_Totora	Especie_Pehuajo_Dias_desde_armado	Especie_Totora_Dias_desde_armado	cociente	PRED 0 cociente
"121"	78	Pehuajo	Sin remojo	12	144	0	0	4	C2	Pehuajo"Sin remojo"	5	1	0	12	0	0.8	1.10714285714286
"122"	79	Pehuajo	Sin remojo	12	144	0	0	8	C2	Pehuajo"Sin remojo"	8	1	0	12	0	1	1.10714285714286
"123"	84	Junco	Sin remojo	12	144	0	0	13	C1	Junco"Sin remojo"	13	0	0	0	0	1	1.20542200854701
"124"	86	Junco	Sin remojo	12	144	0	0	17	C1	Junco"Sin remojo"	15	0	0	0	0	1.13333333333333	1.20542200854701
"125"	87	Totora	Sin remojo	12	144	0	0	6	C2	Totora"Sin remojo"	6	0	1	0	12	1	0.854464285714285
"126"	88	Junco	Sin remojo	12	144	0	0	18	C1	Junco"Sin remojo"	12	0	0	0	0	1.5	1.20542200854701
"127"	89	Pehuajo	Sin remojo	12	144	0	0	6	C2	Pehuajo"Sin remojo"	6	1	0	12	0	1	1.10714285714286
"128"	90	Pehuajo	Sin remojo	12	144	0	0	9	C2	Pehuajo"Sin remojo"	7	1	0	12	0	1.28571428571429	1.10714285714286
"129"	91	Totora	Sin remojo	12	144	0	0	5	C2	Totora"Sin remojo"	7	0	1	0	12	0.714285714285714	0.854464285714285
"130"	92	Totora	Sin remojo	12	144	0	0	5	C2	Totora"Sin remojo"	5	0	1	0	12	1	0.854464285714285
"131"	93	Pehuajo	Sin remojo	12	144	0	0	8	C2	Pehuajo"Sin remojo"	8	1	0	12	0	1	1.10714285714286
"132"	96	Junco	Sin remojo	12	144	0	0	13	C1	Junco"Sin remojo"	10	0	0	0	0	1.3	1.20542200854701
"133"	1	Junco	Con remojo	37	1369	0	0	13	C1	Junco"Con remojo"	14	0	0	0	0	0.928571428571429	1.23701881451881
"134"	2	Pehuajo	Con remojo	37	1369	0	0	8	C2	Pehuajo"Con remojo"	7	1	0	37	0	1.14285714285714	1.0343253968254
"135"	3	Totora	Con remojo	37	1369	0	0	7	C2	Totora"Con remojo"	7	0	1	0	37	1	0.838095238095238
"136"	4	Junco	Con remojo	37	1369	0	0	12	C1	Junco"Con remojo"	11	0	0	0	0	1.09090909090909	1.23701881451881
"137"	6	Totora	Con remojo	37	1369	0	0	5	C2	Totora"Con remojo"	6	0	1	0	37	0.833333333333333	0.838095238095238
"138"	7	Pehuajo	Con remojo	37	1369	0	0	6	C2	Pehuajo"Con remojo"	5	1	0	37	0	1.2	1.0343253968254
"139"	9	Pehuajo	Con remojo	37	1369	1	2	3	C2	Pehuajo"Con remojo"	5	1	0	37	0	0.6	1.0343253968254
"140"	10	Totora	Con remojo	37	1369	0	0	1	C2	Totora"Con remojo"	4	0	1	0	37	0.25	0.838095238095238
"141"	12	Junco	Con remojo	37	1369	0	0	15	C1	Junco"Con remojo"	13	0	0	0	0	1.15384615384615	1.23701881451881
"142"	13	Pehuajo	Con remojo	37	1369	1	0.5	9	C2	Pehuajo"Con remojo"	8	1	0	37	0	1.125	1.0343253968254
"143"	16	Totora	Con remojo	37	1369	0	0	3	C2	Totora"Con remojo"	5	0	1	0	37	0.6	0.838095238095238
"144"	17	Totora	Con remojo	37	1369	0	0	7	C2	Totora"Con remojo"	7	0	1	0	37	1	0.838095238095238
"145"	20	Pehuajo	Con remojo	37	1369	1	0.2	7	C2	Pehuajo"Con remojo"	6	1	0	37	0	1.16666666666667	1.0343253968254
"146"	21	Junco	Con remojo	37	1369	0	0	13	C1	Junco"Con remojo"	10	0	0	0	0	1.3	1.23701881451881
"147"	22	Totora	Con remojo	37	1369	0	0	8	C2	Totora"Con remojo"	8	0	1	0	37	1	0.838095238095238
"148"	23	Pehuajo	Con remojo	37	1369	0	0	4	C2	Pehuajo"Con remojo"	4	1	0	37	0	1	1.0343253968254
"149"	24	Junco	Con remojo	37	1369	0	0	12	C1	Junco"Con remojo"	8	0	0	0	0	1.5	1.23701881451881
"150"	25	Totora	Sin remojo	37	1369	0	0	7	C2	Totora"Sin remojo"	8	0	1	0	37	0.875	0.83139880952381
"151"	26	Junco	Sin remojo	37	1369	0	0	16	C1	Junco"Sin remojo"	16	0	0	0	0	1	1.4414797008547
"152"	27	Pehuajo	Sin remojo	37	1369	0	0	4	C2	Pehuajo"Sin remojo"	4	1	0	37	0	1	1.13958333333333
"153"	29	Junco	Sin remojo	37	1369	0	0	12	C1	Junco"Sin remojo"	6	0	0	0	0	2	1.4414797008547
"154"	30	Pehuajo	Sin remojo	37	1369	1	1	7	C2	Pehuajo"Sin remojo"	4	1	0	37	0	1.75	1.13958333333333
"155"	31	Pehuajo	Sin remojo	37	1369	1	1.5	10	C2	Pehuajo"Sin remojo"	8	1	0	37	0	1.25	1.13958333333333
"156"	36	Junco	Sin remojo	37	1369	0	0	13	C1	Junco"Sin remojo"	13	0	0	0	0	1	1.4414797008547
"157"	38	Junco	Sin remojo	37	1369	0	0	20	C1	Junco"Sin remojo"	15	0	0	0	0	1.33333333333333	1.4414797008547
"158"	39	Totora	Sin remojo	37	1369	0	0	5	C2	Totora"Sin remojo"	6	0	1	0	37	0.833333333333333	0.83139880952381
"159"	40	Junco	Sin remojo	37	1369	0	0	21	C1	Junco"Sin remojo"	12	0	0	0	0	1.75	1.4414797008547
"160"	41	Pehuajo	Sin remojo	37	1369	1	2	7	C2	Pehuajo"Sin remojo"	5	1	0	37	0	1.4	1.13958333333333
"161"	42	Pehuajo	Sin remojo	37	1369	0	0	5	C2	Pehuajo"Sin remojo"	6	1	0	37	0	0.833333333333333	1.13958333333333
"162"	43	Totora	Sin remojo	37	1369	0	0	4	C2	Totora"Sin remojo"	7	0	1	0	37	0.571428571428571	0.83139880952381
"163"	44	Totora	Sin remojo	37	1369	0	0	4	C2	Totora"Sin remojo"	5	0	1	0	37	0.8	0.83139880952381
"164"	45	Pehuajo	Sin remojo	37	1369	1	4	6	C2	Pehuajo"Sin remojo"	8	1	0	37	0	0.75	1.13958333333333
"165"	48	Junco	Sin remojo	37	1369	0	0	16	C1	Junco"Sin remojo"	10	0	0	0	0	1.6	1.4414797008547
"166"	49	Junco	Con remojo	37	1369	0	0	17	C1	Junco"Con remojo"	14	0	0	0	0	1.21428571428571	1.23701881451881
"167"	50	Pehuajo	Con remojo	37	1369	0	0	9	C2	Pehuajo"Con remojo"	7	1	0	37	0	1.28571428571429	1.0343253968254
"168"	51	Totora	Con remojo	37	1369	0	0	8	C2	Totora"Con remojo"	5	0	1	0	37	1.6	0.838095238095238
"169"	52	Junco	Con remojo	37	1369	0	0	12	C1	Junco"Con remojo"	11	0	0	0	0	1.09090909090909	1.23701881451881
"170"	54	Totora	Con remojo	37	1369	0	0	5	C2	Totora"Con remojo"	7	0	1	0	37	0.714285714285714	0.838095238095238
"171"	55	Pehuajo	Con remojo	37	1369	0	0	6	C2	Pehuajo"Con remojo"	5	1	0	37	0	1.2	1.0343253968254
"172"	57	Pehuajo	Con remojo	37	1369	1	2.5	3	C2	Pehuajo"Con remojo"	5	1	0	37	0	0.6	1.0343253968254
"173"	58	Totora	Con remojo	37	1369	0	0	1	C2	Totora"Con remojo"	4	0	1	0	37	0.25	0.838095238095238
"174"	60	Junco	Con remojo	37	1369	0	0	16	C1	Junco"Con remojo"	15	0	0	0	0	1.06666666666667	1.23701881451881
"175"	61	Pehuajo	Con remojo	37	1369	1	1	9	C2	Pehuajo"Con remojo"	8	1	0	37	0	1.125	1.0343253968254
"176"	64	Totora	Con remojo	37	1369	0	0	4	C2	Totora"Con remojo"	6	0	1	0	37	0.666666666666667	0.838095238095238
"177"	65	Totora	Con remojo	37	1369	0	0	8	C2	Totora"Con remojo"	7	0	1	0	37	1.14285714285714	0.838095238095238
"178"	68	Pehuajo	Con remojo	37	1369	1	1	7	C2	Pehuajo"Con remojo"	6	1	0	37	0	1.16666666666667	1.0343253968254
"179"	69	Junco	Con remojo	37	1369	0	0	14	C1	Junco"Con remojo"	10	0	0	0	0	1.4	1.23701881451881
"180"	70	Totora	Con remojo	37	1369	0	0	8	C2	Totora"Con remojo"	8	0	1	0	37	1	0.838095238095238
"181"	71	Pehuajo	Con remojo	37	1369	0	0	4	C2	Pehuajo"Con remojo"	5	1	0	37	0	0.8	1.0343253968254
"182"	72	Junco	Con remojo	37	1369	0	0	13	C1	Junco"Con remojo"	8	0	0	0	0	1.625	1.23701881451881
"183"	73	Totora	Sin remojo	37	1369	0	0	7	C2	Totora"Sin remojo"	7	0	1	0	37	1	0.83139880952381
"184"	74	Junco	Sin remojo	37	1369	0	0	15	C1	Junco"Sin remojo"	16	0	0	0	0	0.9375	1.4414797008547
"185"	75	Pehuajo	Sin remojo	37	1369	1	2	4	C2	Pehuajo"Sin remojo"	4	1	0	37	0	1	1.13958333333333
"186"	77	Junco	Sin remojo	37	1369	0	0	11	C1	Junco"Sin remojo"	6	0	0	0	0	1.83333333333333	1.4414797008547
"187"	78	Pehuajo	Sin remojo	37	1369	1	2	7	C2	Pehuajo"Sin remojo"	5	1	0	37	0	1.4	1.13958333333333
"188"	79	Pehuajo	Sin remojo	37	1369	1	2	11	C2	Pehuajo"Sin remojo"	8	1	0	37	0	1.375	1.13958333333333
"189"	84	Junco	Sin remojo	37	1369	0	0	14	C1	Junco"Sin remojo"	13	0	0	0	0	1.07692307692308	1.4414797008547
"190"	86	Junco	Sin remojo	37	1369	0	0	20	C1	Junco"Sin remojo"	15	0	0	0	0	1.33333333333333	1.4414797008547
"191"	87	Totora	Sin remojo	37	1369	0	0	6	C2	Totora"Sin remojo"	6	0	1	0	37	1	0.83139880952381
"192"	88	Junco	Sin remojo	37	1369	0	0	22	C1	Junco"Sin remojo"	12	0	0	0	0	1.83333333333333	1.4414797008547
"193"	89	Pehuajo	Sin remojo	37	1369	1	2.5	7	C2	Pehuajo"Sin remojo"	6	1	0	37	0	1.16666666666667	1.13958333333333
"194"	90	Pehuajo	Sin remojo	37	1369	0	0	7	C2	Pehuajo"Sin remojo"	7	1	0	37	0	1	1.13958333333333
"195"	91	Totora	Sin remojo	37	1369	0	0	4	C2	Totora"Sin remojo"	7	0	1	0	37	0.571428571428571	0.83139880952381
"196"	92	Totora	Sin remojo	37	1369	0	0	5	C2	Totora"Sin remojo"	5	0	1	0	37	1	0.83139880952381
"197"	93	Pehuajo	Sin remojo	37	1369	1	5.5	6	C2	Pehuajo"Sin remojo"	8	1	0	37	0	0.75	1.13958333333333
"198"	96	Junco	Sin remojo	37	1369	0	0	16	C1	Junco"Sin remojo"	10	0	0	0	0	1.6	1.4414797008547
"199"	1	Junco	Con remojo	58	3364	0	0	18	C1	Junco"Con remojo"	14	0	0	0	0	1.28571428571429	1.4511346986347
"200"	2	Pehuajo	Con remojo	58	3364	1	2.5	8	C2	Pehuajo"Con remojo"	7	1	0	58	0	1.14285714285714	1.01478174603175
"201"	3	Totora	Con remojo	58	3364	1	2	8	C2	Totora"Con remojo"	7	0	1	0	58	1.14285714285714	1.08095238095238
"202"	4	Junco	Con remojo	58	3364	0	0	13	C1	Junco"Con remojo"	11	0	0	0	0	1.18181818181818	1.4511346986347
"203"	6	Totora	Con remojo	58	3364	0	0	6	C2	Totora"Con remojo"	6	0	1	0	58	1	1.08095238095238
"204"	7	Pehuajo	Con remojo	58	3364	1	0.5	6	C2	Pehuajo"Con remojo"	5	1	0	58	0	1.2	1.01478174603175
"205"	9	Pehuajo	Con remojo	58	3364	1	5	4	C2	Pehuajo"Con remojo"	5	1	0	58	0	0.8	1.01478174603175
"206"	10	Totora	Con remojo	58	3364	0	0	4	C2	Totora"Con remojo"	4	0	1	0	58	1	1.08095238095238
"207"	12	Junco	Con remojo	58	3364	0	0	18	C1	Junco"Con remojo"	13	0	0	0	0	1.38461538461538	1.4511346986347
"208"	13	Pehuajo	Con remojo	58	3364	1	3	10	C2	Pehuajo"Con remojo"	8	1	0	58	0	1.25	1.01478174603175
"209"	16	Totora	Con remojo	58	3364	0	0	5	C2	Totora"Con remojo"	5	0	1	0	58	1	1.08095238095238
"210"	17	Totora	Con remojo	58	3364	0	0	10	C2	Totora"Con remojo"	7	0	1	0	58	1.42857142857143	1.08095238095238
"211"	20	Pehuajo	Con remojo	58	3364	1	3	5	C2	Pehuajo"Con remojo"	6	1	0	58	0	0.833333333333333	1.01478174603175
"212"	21	Junco	Con remojo	58	3364	0	0	20	C1	Junco"Con remojo"	10	0	0	0	0	2	1.4511346986347
"213"	22	Totora	Con remojo	58	3364	0	0	8	C2	Totora"Con remojo"	8	0	1	0	58	1	1.08095238095238
"214"	23	Pehuajo	Con remojo	58	3364	0	0	4	C2	Pehuajo"Con remojo"	4	1	0	58	0	1	1.01478174603175
"215"	24	Junco	Con remojo	58	3364	0	0	12	C1	Junco"Con remojo"	8	0	0	0	0	1.5	1.4511346986347
"216"	25	Totora	Sin remojo	58	3364	0	0	6	C2	Totora"Sin remojo"	8	0	1	0	58	0.75	1.02113095238095
"217"	26	Junco	Sin remojo	58	3364	1	0.2	17	C1	Junco"Sin remojo"	16	0	0	0	0	1.0625	1.49385683760684
"218"	27	Pehuajo	Sin remojo	58	3364	1	7.5	4	C2	Pehuajo"Sin remojo"	4	1	0	58	0	1	1.36488095238095
"219"	29	Junco	Sin remojo	58	3364	0	0	8	C1	Junco"Sin remojo"	6	0	0	0	0	1.33333333333333	1.49385683760684
"220"	30	Pehuajo	Sin remojo	58	3364	1	6	8	C2	Pehuajo"Sin remojo"	4	1	0	58	0	2	1.36488095238095
"221"	31	Pehuajo	Sin remojo	58	3364	1	7	12	C2	Pehuajo"Sin remojo"	8	1	0	58	0	1.5	1.36488095238095
"222"	36	Junco	Sin remojo	58	3364	0	0	22	C1	Junco"Sin remojo"	13	0	0	0	0	1.69230769230769	1.49385683760684
"223"	38	Junco	Sin remojo	58	3364	0	0	23	C1	Junco"Sin remojo"	15	0	0	0	0	1.53333333333333	1.49385683760684
"224"	39	Totora	Sin remojo	58	3364	0	0	8	C2	Totora"Sin remojo"	6	0	1	0	58	1.33333333333333	1.02113095238095
"225"	40	Junco	Sin remojo	58	3364	1	3.5	25	C1	Junco"Sin remojo"	12	0	0	0	0	2.08333333333333	1.49385683760684
"226"	41	Pehuajo	Sin remojo	58	3364	1	8	9	C2	Pehuajo"Sin remojo"	5	1	0	58	0	1.8	1.36488095238095
"227"	42	Pehuajo	Sin remojo	58	3364	0	0	8	C2	Pehuajo"Sin remojo"	6	1	0	58	0	1.33333333333333	1.36488095238095
"228"	43	Totora	Sin remojo	58	3364	0	0	6	C2	Totora"Sin remojo"	7	0	1	0	58	0.857142857142857	1.02113095238095
"229"	44	Totora	Sin remojo	58	3364	0	0	7	C2	Totora"Sin remojo"	5	0	1	0	58	1.4	1.02113095238095
"230"	45	Pehuajo	Sin remojo	58	3364	1	10	9	C2	Pehuajo"Sin remojo"	8	1	0	58	0	1.125	1.36488095238095
"231"	48	Junco	Sin remojo	58	3364	1	6	16	C1	Junco"Sin remojo"	10	0	0	0	0	1.6	1.49385683760684
"232"	49	Junco	Con remojo	58	3364	0	0	18	C1	Junco"Con remojo"	14	0	0	0	0	1.28571428571429	1.4511346986347
"233"	50	Pehuajo	Con remojo	58	3364	1	3	8	C2	Pehuajo"Con remojo"	7	1	0	58	0	1.14285714285714	1.01478174603175
"234"	51	Totora	Con remojo	58	3364	1	2	7	C2	Totora"Con remojo"	5	0	1	0	58	1.4	1.08095238095238
"235"	52	Junco	Con remojo	58	3364	0	0	13	C1	Junco"Con remojo"	11	0	0	0	0	1.18181818181818	1.4511346986347
"236"	54	Totora	Con remojo	58	3364	0	0	6	C2	Totora"Con remojo"	7	0	1	0	58	0.857142857142857	1.08095238095238
"237"	55	Pehuajo	Con remojo	58	3364	1	0.5	5	C2	Pehuajo"Con remojo"	5	1	0	58	0	1	1.01478174603175
"238"	57	Pehuajo	Con remojo	58	3364	1	5	4	C2	Pehuajo"Con remojo"	5	1	0	58	0	0.8	1.01478174603175
"239"	58	Totora	Con remojo	58	3364	0	0	4	C2	Totora"Con remojo"	4	0	1	0	58	1	1.08095238095238
"240"	60	Junco	Con remojo	58	3364	0	0	19	C1	Junco"Con remojo"	15	0	0	0	0	1.26666666666667	1.4511346986347
"241"	61	Pehuajo	Con remojo	58	3364	1	4	11	C2	Pehuajo"Con remojo"	8	1	0	58	0	1.375	1.01478174603175
"242"	64	Totora	Con remojo	58	3364	0	0	6	C2	Totora"Con remojo"	6	0	1	0	58	1	1.08095238095238
"243"	65	Totora	Con remojo	58	3364	0	0	8	C2	Totora"Con remojo"	7	0	1	0	58	1.14285714285714	1.08095238095238
"244"	68	Pehuajo	Con remojo	58	3364	1	3	5	C2	Pehuajo"Con remojo"	6	1	0	58	0	0.833333333333333	1.01478174603175
"245"	69	Junco	Con remojo	58	3364	0	0	18	C1	Junco"Con remojo"	10	0	0	0	0	1.8	1.4511346986347
"246"	70	Totora	Con remojo	58	3364	0	0	8	C2	Totora"Con remojo"	8	0	1	0	58	1	1.08095238095238
"247"	71	Pehuajo	Con remojo	58	3364	0	0	4	C2	Pehuajo"Con remojo"	5	1	0	58	0	0.8	1.01478174603175
"248"	72	Junco	Con remojo	58	3364	0	0	13	C1	Junco"Con remojo"	8	0	0	0	0	1.625	1.4511346986347
"249"	73	Totora	Sin remojo	58	3364	0	0	5	C2	Totora"Sin remojo"	7	0	1	0	58	0.714285714285714	1.02113095238095
"250"	74	Junco	Sin remojo	58	3364	1	1	13	C1	Junco"Sin remojo"	16	0	0	0	0	0.8125	1.49385683760684
"251"	75	Pehuajo	Sin remojo	58	3364	1	9	4	C2	Pehuajo"Sin remojo"	4	1	0	58	0	1	1.36488095238095
"252"	77	Junco	Sin remojo	58	3364	0	0	7	C1	Junco"Sin remojo"	6	0	0	0	0	1.16666666666667	1.49385683760684
"253"	78	Pehuajo	Sin remojo	58	3364	1	7	7	C2	Pehuajo"Sin remojo"	5	1	0	58	0	1.4	1.36488095238095
"254"	79	Pehuajo	Sin remojo	58	3364	1	9	12	C2	Pehuajo"Sin remojo"	8	1	0	58	0	1.5	1.36488095238095
"255"	84	Junco	Sin remojo	58	3364	1	2.5	22	C1	Junco"Sin remojo"	13	0	0	0	0	1.69230769230769	1.49385683760684
"256"	86	Junco	Sin remojo	58	3364	0	0	23	C1	Junco"Sin remojo"	15	0	0	0	0	1.53333333333333	1.49385683760684
"257"	87	Totora	Sin remojo	58	3364	0	0	6	C2	Totora"Sin remojo"	6	0	1	0	58	1	1.02113095238095
"258"	88	Junco	Sin remojo	58	3364	1	4.5	23	C1	Junco"Sin remojo"	12	0	0	0	0	1.91666666666667	1.49385683760684
"259"	89	Pehuajo	Sin remojo	58	3364	1	9	7	C2	Pehuajo"Sin remojo"	6	1	0	58	0	1.16666666666667	1.36488095238095
"260"	90	Pehuajo	Sin remojo	58	3364	0	0	10	C2	Pehuajo"Sin remojo"	7	1	0	58	0	1.42857142857143	1.36488095238095
"261"	91	Totora	Sin remojo	58	3364	0	0	5	C2	Totora"Sin remojo"	7	0	1	0	58	0.714285714285714	1.02113095238095
"262"	92	Totora	Sin remojo	58	3364	0	0	7	C2	Totora"Sin remojo"	5	0	1	0	58	1.4	1.02113095238095
"263"	93	Pehuajo	Sin remojo	58	3364	1	15	9	C2	Pehuajo"Sin remojo"	8	1	0	58	0	1.125	1.36488095238095
"264"	96	Junco	Sin remojo	58	3364	1	8	15	C1	Junco"Sin remojo"	10	0	0	0	0	1.5	1.49385683760684
"265"	1	Junco	Con remojo	82	6724	1	3	12	C1	Junco"Con remojo"	14	0	0	0	0	0.857142857142857	1.37463203463203
"266"	2	Pehuajo	Con remojo	82	6724	1	5	6	C2	Pehuajo"Con remojo"	7	1	0	82	0	0.857142857142857	1.13035714285714
"267"	3	Totora	Con remojo	82	6724	1	7	7	C2	Totora"Con remojo"	7	0	1	0	82	1	1.17757936507937
"268"	4	Junco	Con remojo	82	6724	1	5.5	9	C1	Junco"Con remojo"	11	0	0	0	0	0.818181818181818	1.37463203463203
"269"	6	Totora	Con remojo	82	6724	1	3	6	C2	Totora"Con remojo"	6	0	1	0	82	1	1.17757936507937
"270"	7	Pehuajo	Con remojo	82	6724	1	4.5	5	C2	Pehuajo"Con remojo"	5	1	0	82	0	1	1.13035714285714
